,Neighborhood,Year,Eviction Filing Count
185,Kinsman,2016,186
186,Kinsman,2017,159
187,Kinsman,2018,100
188,Kinsman,2019,136
189,Kinsman,2020,46
190,Lee Miles,2011,131
191,Lee Miles,2012,143
192,Lee Miles,2013,146
193,Lee Miles,2014,159
194,Lee Miles,2015,97
195,Lee Miles,2016,148
196,Lee Miles,2017,166
197,Lee Miles,2018,167
198,Lee Miles,2019,171
199,Lee Miles,2020,98
200,Mt. Pleasant,2011,477
201,Mt. Pleasant,2012,541
202,Mt. Pleasant,2013,508
203,Mt. Pleasant,2014,495
204,Mt. Pleasant,2015,268
205,Mt. Pleasant,2016,438
206,Mt. Pleasant,2017,442
207,Mt. Pleasant,2018,428
208,Mt. Pleasant,2019,448
209,Mt. Pleasant,2020,231
210,North Collinwood,2011,395
211,North Collinwood,2012,416
212,North Collinwood,2013,425
213,North Collinwood,2014,441
214,North Collinwood,2015,230
215,North Collinwood,2016,400
216,North Collinwood,2017,357
217,North Collinwood,2018,381
218,North Collinwood,2019,377
219,North Collinwood,2020,167
220,Ohio City,2011,439
221,Ohio City,2012,435
222,Ohio City,2013,439
223,Ohio City,2014,454
224,Ohio City,2015,236
225,Ohio City,2016,340
226,Ohio City,2017,200
227,Ohio City,2018,124
228,Ohio City,2019,115
229,Ohio City,2020,49
230,Old Brooklyn,2011,463
231,Old Brooklyn,2012,498
232,Old Brooklyn,2013,536
233,Old Brooklyn,2014,517
234,Old Brooklyn,2015,314
235,Old Brooklyn,2016,514
236,Old Brooklyn,2017,448
237,Old Brooklyn,2018,443
238,Old Brooklyn,2019,477
239,Old Brooklyn,2020,228
240,Riverside,2016,1
241,South Collinwood,2011,377
242,South Collinwood,2012,378
243,South Collinwood,2013,356
244,South Collinwood,2014,401
245,South Collinwood,2015,209
246,South Collinwood,2016,315
247,South Collinwood,2017,309
248,South Collinwood,2018,337
249,South Collinwood,2019,313
250,South Collinwood,2020,190
251,St. Clair-Superior,2011,226
252,St. Clair-Superior,2012,201
253,St. Clair-Superior,2013,190
254,St. Clair-Superior,2014,193
255,St. Clair-Superior,2015,94
256,St. Clair-Superior,2016,162
257,St. Clair-Superior,2017,143
258,St. Clair-Superior,2018,139
259,St. Clair-Superior,2019,126
260,St. Clair-Superior,2020,74
261,Stockyards,2011,268
262,Stockyards,2012,295
263,Stockyards,2013,302
264,Stockyards,2014,312
265,Stockyards,2015,161
266,Stockyards,2016,297
267,Stockyards,2017,243
268,Stockyards,2018,205
269,Stockyards,2019,207
270,Stockyards,2020,109
271,Tremont,2011,219
272,Tremont,2012,148
273,Tremont,2013,141
274,Tremont,2014,132
275,Tremont,2015,65
276,Tremont,2016,142
277,Tremont,2017,108
278,Tremont,2018,111
279,Tremont,2019,87
280,Tremont,2020,36
281,Union-Miles,2011,356
282,Union-Miles,2012,336
283,Union-Miles,2013,353
284,Union-Miles,2014,374
285,Union-Miles,2015,191
286,Union-Miles,2016,316
287,Union-Miles,2017,346
288,Union-Miles,2018,344
289,Union-Miles,2019,370
290,Union-Miles,2020,166
291,University District,2011,95
292,University District,2012,87
293,University District,2013,66
294,University District,2014,85
295,University District,2015,52
296,University District,2016,91
297,University District,2017,78
298,University District,2018,63
299,University District,2019,53
300,University District,2020,11
301,West Boulevard,2011,464
302,West Boulevard,2012,462
303,West Boulevard,2013,492
304,West Boulevard,2014,517
305,West Boulevard,2015,283
306,West Boulevard,2016,432
307,West Boulevard,2017,448
308,West Boulevard,2018,401
309,West Boulevard,2019,391
310,West Boulevard,2020,231
311,Woodland Hills,2011,229
312,Woodland Hills,2012,307
313,Woodland Hills,2013,287
314,Woodland Hills,2014,306
315,Woodland Hills,2015,174
316,Woodland Hills,2016,226
317,Woodland Hills,2017,185
318,Woodland Hills,2018,178
319,Woodland Hills,2019,147
320,Woodland Hills,2020,53
